,User,Movie,Actual Rating,Predicted Rating
0,121,386,5,2
1,233,1183,2,1
2,94,545,2,5
3,37,94,5,5
4,101,767,2,1
5,180,1080,1,2
6,283,303,4,2
7,200,978,2,3
8,286,326,5,5
9,248,240,5,1
10,98,3,5,1
11,259,321,4,1
12,71,678,2,3
13,289,142,5,5
14,19,287,1,5
15,200,218,4,1
16,166,231,1,4
17,193,164,4,5
18,126,228,5,2
19,224,236,5,3
20,290,143,5,1
21,41,402,3,1
22,10,110,4,4
23,134,22,4,1
24,285,207,4,1
25,215,143,4,3
26,270,131,5,3
27,61,20,3,4
28,278,831,3,2
29,93,788,4,3
30,127,484,3,2
31,292,470,3,1
32,58,22,5,5
33,285,378,5,2
34,243,814,4,3
35,193,1210,2,3
36,304,426,5,3
37,268,503,4,4
38,193,465,4,5
39,9,485,4,1
40,48,558,2,5
41,171,176,4,5
42,18,3,4,3
43,4,1,3,5
44,278,1239,1,5
45,65,297,4,2
46,25,257,3,3
47,199,672,5,1
48,118,327,4,4
49,159,718,3,3
50,25,929,2,3
51,291,173,5,1
52,51,279,3,5
53,57,1097,4,1
54,124,477,4,4
55,300,789,4,1
56,86,553,4,2
57,302,841,2,5
58,302,814,3,4
59,294,217,5,2
60,99,343,4,3
61,37,152,5,3
62,274,97,4,2
63,157,176,4,5
64,221,117,4,2
65,200,766,4,3
66,32,871,3,5
67,144,14,2,4
68,183,217,3,2
69,127,203,4,3
70,183,152,3,3
71,93,342,4,4
72,127,507,4,5
73,143,88,3,2
74,58,950,3,1
75,274,596,3,1
76,86,39,3,2
77,206,1114,2,3
78,270,377,4,5
79,48,958,2,3
80,190,285,4,3
81,12,343,2,4
82,193,65,3,5
83,233,205,4,4
84,268,521,5,5
85,271,11,5,4
86,233,611,3,5
87,233,1450,3,4
88,243,185,3,1
89,278,1180,4,4
90,82,77,2,1
91,91,500,2,3
92,221,96,4,5
93,58,714,5,1
94,290,79,4,4
95,12,891,3,2
96,212,175,4,2
97,268,216,2,2
98,249,595,5,3
99,110,327,4,1
100,302,403,4,1
101,186,209,4,2
102,262,418,5,3
103,69,430,3,2
104,183,186,4,4
105,62,288,2,5
106,245,93,2,2
107,53,741,5,1
108,306,173,4,1
109,163,405,2,2
110,116,149,4,3
111,129,108,3,2
112,192,878,3,2
113,275,56,3,4
114,233,186,4,2
115,20,369,1,1
116,275,141,3,4
117,267,823,2,1
118,108,7,3,3
119,192,940,4,4
120,127,602,5,2
121,243,264,4,2
122,307,54,3,5
123,93,743,4,4
124,129,641,4,5
125,216,596,4,5
126,120,739,3,1
127,12,863,4,5
128,229,741,5,1
129,294,960,5,4
130,293,930,3,4
131,282,1113,5,3
132,69,216,4,3
133,245,560,1,4
134,12,900,1,3
135,6,496,4,3
136,233,1461,3,5
137,41,587,5,1
138,273,844,5,3
139,17,85,4,4
140,143,708,4,5
141,89,1197,5,3
142,47,608,4,1
143,4,224,2,3
144,21,127,5,4
145,7,21,5,4
146,233,625,4,5
147,262,95,4,1
148,48,301,4,2
149,233,317,4,5
150,93,1219,3,1
151,233,9,3,5
152,82,659,4,3
153,188,19,5,4
154,124,79,4,1
155,12,779,1,5
156,267,20,3,2
157,233,80,3,4
158,157,728,3,3
159,167,865,5,4
160,36,287,4,1
161,234,229,4,2
162,101,69,3,5
163,117,773,5,5
164,48,1002,2,1
165,76,473,5,2
166,57,1098,2,5
167,285,98,4,5
168,89,257,3,4
169,271,316,4,3
170,220,1009,3,1
171,6,647,5,2
172,86,81,5,3
173,194,1051,1,2
174,229,303,5,5
175,285,356,4,1
176,13,268,4,5
177,243,182,4,5
178,298,386,2,3
179,215,54,5,2
180,193,22,4,1
181,187,142,5,1
182,275,293,4,1
183,160,47,1,2
184,63,735,4,5
185,190,750,3,1
186,58,91,5,5
187,68,267,5,3
188,234,69,5,5
189,302,160,5,1
190,254,1033,1,3
191,278,121,1,2
192,129,1216,4,5
193,253,356,3,3
194,5,300,2,3
195,255,442,3,1
196,269,97,5,3
197,67,236,5,5
198,220,47,5,1
199,143,741,4,2
200,222,10,3,1
201,267,582,4,1
202,159,461,4,4
203,4,109,1,4
204,291,8,4,1
205,86,400,2,2
